data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,rc_agg,5,"(0.0, 0.4)",roc_auc,0.9205384183811498,0.9147769588718728,0.9268560833690735,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.8, 1)",f1,0.8592863583932001,0.8475788911952804,0.869340257647371,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.8, 1)",binary_precision,0.799767062387733,0.7783200487621905,0.8215134316924426,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.8, 1)",binary_recall,0.9317146725057615,0.9176458804493437,0.9429005526238886,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.8, 1)",accuracy,0.9755517175206295,0.9738341968911918,0.9777042154416938,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.8, 1)",roc_auc,0.9800875478732756,0.9755401628870419,0.9841176580277824,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.6, 0.8)",f1,0.8274385233307161,0.8120354785478547,0.8391629475173153,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.6, 0.8)",binary_precision,0.780511337630147,0.7657086700888756,0.794244435089811,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.6, 0.8)",binary_recall,0.8896002777083089,0.8701623452979392,0.9015081564776687,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.6, 0.8)",accuracy,0.9669178912286018,0.964993940312074,0.9698038176033934,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.6, 0.8)",roc_auc,0.9799773445438763,0.975651897224179,0.9844467845783017,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.4, 0.6)",f1,0.7380878121288393,0.7180892264221475,0.7540598414820844,8a155bc5673b4c6aa8667dd55755fe0b
